P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_UPDATE,P_MASS,P_MASS_ORIGIN,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,S_NAME,S_NAME_HD,S_NAME_HIP,S_TYPE,S_RA,S_DEC,S_RA_STR,S_DEC_STR,S_MAG,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_AGE,S_LOG_LUM,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
Kepler-1377 b,Transit,Kepler,2016,2019-04-16,2.1,M-R relationship,1.25,0.74092842,0.0153,0.0,87.91,,Kepler-1377,,,,289.19542,46.651606,19h16m46.90s,+46d39m05.78s,15.857,1146.1,5218.0,0.86,0.82,0.05,5.01,-0.293,4.55,1.2961481,1.68,1.344,1.0752,0.00020608686,0.0153,0.0153,0.0153,0.0153,2175.7908,1739.8187,1964.8518,Terran,K,19 16 46.90,+46 39 05.78,0.50933087,1.9269204,0.73715198,0.44500403,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1171 b,Transit,Kepler,2016,2019-04-16,7.08,M-R relationship,2.56,1.4425922,0.0284,0.0,86.82,,Kepler-1171,,,,294.95893,38.591597,19h39m50.14s,+38d35m29.75s,11.647,573.0,7044.0,1.58,1.95,-0.01,1.35,0.869,4.05,1.6630168,2.765625,1.0803223,0.42200089,0.00046834114,0.0284,0.0284,0.0284,0.0284,9169.873,2492.8178,,Neptunian,F,19 39 50.14,+38 35 29.75,7.3960528,7.3428349,20.797988,0.4380256,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1207 b,Transit,Kepler,2016,2019-04-16,3.26,M-R relationship,1.62,13.682371,0.1156,0.0,88.35,,Kepler-1207,,,,295.0642,49.358961,19h40m15.41s,+49d21m32.26s,14.595,1754.19,5909.0,1.06,1.06,0.05,3.63,0.638,4.41,1.4185717,2.0123457,1.2421887,0.76678314,0.001681565,0.1156,0.1156,0.1156,0.1156,325.15043,1081.7348,1221.6495,Superterran,G,19 40 15.41,+49 21 32.26,4.3451022,5.6281254,2.5905602,0.45217988,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1283 b,Transit,Kepler,2016,2019-04-16,4.31,M-R relationship,1.91,12.946098,0.1062,0.0,89.4,,Kepler-1283,,,,295.46233,40.776933,19h41m50.96s,+40d46m36.96s,15.269,2921.99,6175.0,1.16,1.25,0.04,2.88,0.927,4.31,1.5021799,2.2565445,1.1814369,0.61855336,0.0016453168,0.1062,0.1062,0.1062,0.1062,749.46433,1332.869,1505.266,Superterran,F,19 41 50.96,+40 46 36.96,8.4527885,7.8498935,4.2161085,0.44834216,0,0,Hot,0,Cygnus,Cyg,Swan
K2-120 b,Transit,K2,2017,2019-09-05,4.7,M-R relationship,2.01,9.562742,0.078,0.14,89.57,-81.19,K2-120,,,,132.14285,17.190581,08h48m34.28s,+17d11m26.09s,14.092,289.54387,4349.9,0.69,0.67,-0.303,,-0.664,,1.5291529,2.3383085,1.1633375,0.5787749,0.0012719242,0.0787644,0.06708,0.08892,0.07819234,35.983976,621.60944,702.01019,Superterran,K,08 48 34.28,+17 11 26.09,0.21677041,1.2570825,0.15415901,0.40766256,0,0,Hot,0,Cancer,Cnc,Crab
K2-24 c,Transit,K2,2016,2019-09-05,15.4,Mass,7.5,42.3391,0.247,0.07,89.76,,K2-24,,,G9 V,242.57346,-24.990603,16h10m17.63s,-24d59m26.17s,11.275,170.562,5625.0,1.07,1.16,0.34,5.1,0.158,4.29,1.4329457,2.0533333,0.27377778,0.036503704,0.005589129,0.24760515,0.22971,0.26429,0.24715153,23.641375,561.20051,,Neptunian,G,16 10 17.63,-24 59 26.17,1.4387986,3.2386481,1.5953482,0.48004409,0,0,Hot,0,Scorpius,Sco,Scorpion
HIP 57274 b,Radial Velocity,W. M. Keck Observatory,2011,2018-09-04,6.3566,Msini,2.4,8.1352,0.07,0.19,,81.0,HIP 57274,,HIP 57274,K4 V,176.17055,30.957648,11h44m40.93s,+30d57m27.53s,8.97,25.8618,4510.0,0.29,0.78,0.01,7.87,0.19,4.11,1.6274469,2.6485833,1.1035764,0.4598235,0.0015872449,0.0712635,0.0567,0.0833,0.070319681,321.94963,1071.6705,1210.2834,Superterran,K,11 44 40.93,+30 57 27.53,1.5488166,3.3601895,0.15203329,0.33395398,0,0,Hot,0,Ursa Major,UMa,Big Bear
K2-123 b,Transit,K2,2017,2019-09-05,8.05,M-R relationship,2.76,30.951524,0.1649,0.06,89.79,-33.53,K2-123,,,,134.44414,21.453275,08h57m46.59s,+21d27m11.79s,14.781,161.555,4035.0,0.62,0.59,0.03,,-1.143,4.69,1.7078251,2.9166667,1.0567633,0.38288525,0.0036441968,0.16519682,0.155006,0.174794,0.16497429,2.6505856,324.81911,,Neptunian,K,08 57 46.59,+21 27 11.79,0.071944898,0.72420874,0.086602528,0.39338249,0,0,Hot,0,Cancer,Cnc,Crab
Kepler-154 c,Transit,Kepler,2014,2018-09-25,9.01,M-R relationship,2.95,62.303276,0.303,0.0,89.13,,Kepler-154,,,,289.78054,49.896562,19h19m07.33s,+49d53m47.62s,14.646,915.212,5690.0,0.98,1.0,-0.04,4.47,0.033,4.42,1.7476376,3.0542373,1.0353347,0.35096091,0.0063493234,0.303,0.303,0.303,0.303,11.75208,471.65929,,Neptunian,G,19 19 07.33,+49 53 47.62,1.0789467,2.8045537,1.7323432,0.45605594,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-389 b,Transit,Kepler,2014,2019-04-16,2.89,M-R relationship,1.51,3.244107,0.041,0.0,84.86,,Kepler-389,,,,291.96001,44.900059,19h27m50.40s,+44d54m00.21s,15.769,816.559,5376.0,0.81,0.79,0.16,4.68,-0.516,4.57,1.3834404,1.9139073,1.2674883,0.8393962,0.00062667165,0.041,0.041,0.041,0.041,181.3144,934.77649,1055.6832,Terran,G,19 27 50.40,+44 54 00.21,0.3047895,1.4906091,0.94792185,0.43128149,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-626 b,Transit,Kepler,2016,2019-04-16,5.86,M-R relationship,2.29,14.485852,0.115,0.0,86.48,,Kepler-626,,,,288.69868,39.708204,19h14m47.68s,+39d42m29.54s,14.086,635.643,5813.0,1.01,1.05,0.01,5.37,-0.042,4.4,1.5996725,2.558952,1.1174463,0.4879678,0.0020670065,0.115,0.115,0.115,0.115,68.644274,733.24783,828.08821,Superterran,G,19 14 47.68,+39 42 29.54,0.90782053,2.5725496,2.1615811,0.47496435,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-545 b,Transit,Kepler,2016,2019-04-16,7.7,M-R relationship,2.69,13.249341,0.1087,0.0,88.07,,Kepler-545,,,,290.56632,40.692076,19h22m15.92s,+40d41m31.47s,14.205,818.001,5882.0,1.04,1.07,0.03,4.47,0.107,4.39,1.6918787,2.8624535,1.0641091,0.3955796,0.0021191771,0.1087,0.1087,0.1087,0.1087,108.27817,821.74096,,Neptunian,G,19 22 15.92,+40 41 31.47,1.2793813,3.053963,2.4574857,0.46517947,0,0,Hot,0,Lyra,Lyr,Lyre
MOA-2009-BLG-266L b,Microlensing,MOA,2011,2022-06-08,10.4,Mass,3.21,2800.0,3.2,,,,MOA-2009-BLG-266L,,,,267.00813,-35.005411,17h48m05.95s,-35d00m19.5s,,3040.0,,0.56,,,,,,1.7999654,3.2398754,1.009307,0.31442585,0.084765084,3.2,3.2,3.2,3.2,,,,Neptunian,,17 48 05.95,-35 00 19.50,,,,0.38025984,0,0,,0,Scorpius,Sco,Scorpion
Kepler-1903 b,Transit,Kepler,2021,2021-12-05,5.85,M-R relationship,2.286,17.0679,0.1321,0.0,89.72,,Kepler-1903,,,,290.8883,51.248162,19h23m33.19s,+51d14m53.38s,15.456,1775.44,6347.0,1.05,1.0,-0.34,0.23,0.292,4.46,1.5997047,2.5590551,1.1194467,0.48969671,0.0023424856,0.1321,0.1321,0.1321,0.1321,112.25207,829.17901,936.4274,Superterran,F,19 23 33.19,+51 14 53.38,1.9588447,3.7788858,5.4805124,0.28460503,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1945 b,Transit,Kepler,2021,2021-12-05,2.21,M-R relationship,1.289,6.08004,0.0597,0.0,89.58,,Kepler-1945,,,,281.89808,42.285818,18h47m35.54s,+42d17m08.95s,13.586,,4991.0,0.77,0.8,0.04,,-0.441,4.51,1.309392,1.7145074,1.3301066,1.0318903,0.00084864638,0.0597,0.0597,0.0597,0.0597,101.63688,808.83986,913.45752,Terran,K,18 47 35.54,+42 17 08.95,0.362243,1.6250389,0.48104498,0.42284516,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-176 e,Transit,Kepler,2016,2019-04-16,2.7,M-R relationship,1.45,51.16579,0.2494,0.0,89.08,,Kepler-176,,,,294.6679,43.85321,19h38m40.30s,+43d51m11.56s,14.767,527.321,5295.0,0.87,0.83,0.03,4.68,-0.404,4.55,1.3645765,1.862069,1.2841855,0.88564517,0.003638842,0.2494,0.2494,0.2494,0.2494,6.3417206,404.25136,456.53838,Terran,K,19 38 40.30,+43 51 11.56,0.3944573,1.6957576,0.8446596,0.44167779,0,0,Hot,0,Cygnus,Cyg,Swan
OGLE-2018-BLG-1011L b,Microlensing,OGLE,2019,2019-12-05,570.0,Mass,13.5,,1.8,,,,OGLE-2018-BLG-1011L,,,,269.014,-29.082889,17h56m03.36s,-29d04m58.4s,,7100.0,,0.18,,,,,,6.4978629,42.222222,3.127572,0.231672,0.26439823,1.8,1.8,1.8,1.8,,,,Jovian,,17 56 03.36,-29 04 58.40,,,,0.26048054,0,0,,0,Sagittarius,Sgr,Archer
Kepler-1942 b,Transit,Kepler,2021,2021-12-05,5.13,M-R relationship,2.117,4.62605,0.0516,0.0,88.9,,Kepler-1942,,,,294.98054,44.425238,19h39m55.33s,+44d25m30.86s,14.91,842.492,5834.0,0.85,0.8,-0.5,,-0.075,4.57,1.5566761,2.4232404,1.1446577,0.54069803,0.00093972568,0.0516,0.0516,0.0516,0.0516,316.00983,1074.0509,1212.9717,Superterran,G,19 39 55.33,+44 25 30.86,0.84139514,2.476645,2.1157898,0.43700939,0,0,Hot,0,Cygnus,Cyg,Swan
HD 221416 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2019,2022-08-08,60.5,Mass,9.17,14.2767,0.1228,0.115,85.75,-106.0,HD 221416,HD 221416,HIP 116158,K0 IV/V,353.03319,-21.801201,23h32m07.96s,-21d48m04.32s,8.15,95.5483,5080.0,1.21,2.94,-0.08,4.9,0.712,3.58,2.5685795,6.5976009,0.71947665,0.078459831,0.0040048251,0.12361201,0.108678,0.136922,0.12300389,343.94912,1094.3098,,Jovian,K,23 32 07.96,-21 48 04.32,5.1522864,6.1286351,0.65166101,0.49680502,0,0,Hot,0,Aquarius,Aqr,Water Carrier
Kepler-294 c,Transit,Kepler,2014,2019-04-16,7.8,M-R relationship,2.71,6.6264,0.071,0.0,89.61,,Kepler-294,,,,287.39204,46.059258,19h09m34.09s,+46d03m33.33s,15.948,1357.01,5913.0,0.95,0.98,0.16,0.6,-0.148,4.49,1.6965343,2.8782288,1.062077,0.39191035,0.0014327396,0.071,0.071,0.071,0.071,141.0858,877.95152,,Neptunian,G,19 09 34.09,+46 03 33.33,0.71121351,2.2770038,2.5148808,0.32296682,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-228 d,Transit,Kepler,2014,2019-04-16,15.4,M-R relationship,4.04,11.094286,0.101,0.0,88.11,,Kepler-228,,,,296.28609,48.224633,19h45m08.66s,+48d13m28.68s,15.902,1644.61,6043.0,0.95,1.01,-0.03,0.3,0.111,4.47,1.952404,3.8118812,0.94353495,0.23354825,0.0025568524,0.101,0.101,0.101,0.101,126.57772,854.45466,,Neptunian,F,19 45 08.66,+48 13 28.68,1.2912193,3.0680594,3.1442187,0.28773073,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-23 b,Transit,Kepler,2011,2019-04-16,254.3,Mass,1.9,7.1073,0.075,0.06,89.57,,Kepler-23,,,,294.21891,49.479254,19h36m52.54s,+49d28m45.31s,13.567,835.756,5760.0,1.11,1.52,-0.09,6.0,0.362,4.0,11.569015,133.84211,70.443213,37.075375,0.0043150135,0.075135,0.0705,0.0795,0.07503379,409.88367,1145.4372,1293.5913,Superterran,G,19 36 52.54,+49 28 45.31,2.3014418,4.096036,2.0365472,0.49929556,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-251 c,Transit,Kepler,2014,2019-04-16,8.1,M-R relationship,2.77,16.514043,0.122,0.0,89.22,,Kepler-251,,,,296.56622,44.105808,19h46m15.89s,+44d06m20.91s,15.541,924.625,5526.0,0.95,0.89,-0.02,3.63,-0.172,4.49,1.7100257,2.9241877,1.0556634,0.38110593,0.0024930571,0.122,0.122,0.122,0.122,45.214771,660.57144,,Neptunian,G,19 46 15.89,+44 06 20.91,0.67297666,2.2149492,1.2935099,0.43596385,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1623 b,Transit,Kepler,2016,2019-04-16,2.27,M-R relationship,1.31,4.3612835,0.0518,0.0,88.52,,Kepler-1623,,,,294.0827,39.556066,19h36m19.85s,+39d33m21.84s,15.205,837.481,5772.0,1.0,1.0,0.04,4.27,-0.172,4.44,1.3163679,1.7328244,1.3227667,1.0097456,0.00068096318,0.0518,0.0518,0.0518,0.0518,250.80748,1013.7592,1144.8818,Terran,G,19 36 19.85,+39 33 21.84,0.67297666,2.2149492,2.0078915,0.45564802,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-181 b,Transit,Kepler,2014,2019-04-16,2.15,M-R relationship,1.27,3.137873,0.04,0.0,87.72,,Kepler-181,,,,296.15128,50.095781,19h44m36.31s,+50d05m44.81s,14.854,609.283,5333.0,0.85,0.75,-0.023,0.5,-0.379,4.62,1.3011201,1.6929134,1.3330027,1.0496084,0.00054515301,0.04,0.04,0.04,0.04,261.14398,1024.0466,1156.4997,Terran,G,19 44 36.31,+50 05 44.81,0.41783037,1.7452746,0.89467938,0.30189747,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-336 c,Transit,Kepler,2014,2019-04-16,5.06,M-R relationship,2.1,9.600001,0.092,0.0,89.79,,Kepler-336,,,,290.23762,41.331364,19h20m57.03s,+41d19m52.91s,13.677,768.86,5867.0,1.09,1.3,0.337,4.9,0.26,4.26,1.5522641,2.4095238,1.1473923,0.54637728,0.0015351392,0.092,0.092,0.092,0.092,214.99301,975.45176,1101.6195,Superterran,G,19 20 57.03,+41 19 52.91,1.8197009,3.6421998,2.432747,0.47980675,0,0,Hot,0,Lyra,Lyr,Lyre
HIP 54373 c,Radial Velocity,Las Campanas Observatory,2019,2019-05-20,12.44,Msini,3.57,15.144,0.099,0.2,,122.37,HIP 54373,,HIP 54373,K5 V,166.86435,-19.291686,11h07m27.44s,-19d17m30.07s,10.38,18.7168,4021.0,0.57,0.56,,,-1.222,4.68,1.8667067,3.4845938,0.97607671,0.27341084,0.0022139048,0.10098,0.0792,0.1188,0.099501622,6.2458852,399.65443,,Neptunian,K,11 07 27.44,-19 17 30.07,0.059979108,0.66124708,0.082207727,0.38250996,0,0,Hot,0,Crater,Crt,Cup
K2-161 b,Transit,K2,2018,2018-02-14,31.1,M-R relationship,6.117,9.283188,0.086136275,,87.251,,K2-161,,,,183.79385,-3.4956913,12h15m10.52s,-03d29m44.49s,12.718,916.319,4972.0,0.99,2.57,-0.03,,0.919,3.63,2.2548152,5.0841916,0.83115769,0.13587669,0.0027186068,0.086136275,0.086136275,0.086136275,0.086136275,1118.479,1473.1829,,Neptunian,K,12 15 10.52,-03 29 44.49,8.2985077,7.7779252,0.50628019,0.45979353,0,0,Hot,0,Virgo,Vir,Virgin
Kepler-1809 b,Transit,Kepler,2021,2021-12-05,2.9,M-R relationship,1.513,3.7572999,0.0435,0.0,88.7,,Kepler-1809,,,,290.26517,40.548494,19h21m03.64s,+40d32m54.58s,14.271,409.602,4901.0,0.81,0.72,0.04,7.0,-0.471,4.62,1.3844572,1.9167217,1.2668353,0.83730024,0.00066564933,0.0435,0.0435,0.0435,0.0435,178.6576,931.33319,1051.7945,Terran,K,19 21 03.64,+40 32 54.58,0.33806484,1.5698703,0.41914713,0.46121439,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-595 b,Transit,Kepler,2016,2020-11-13,17.4,Mass,3.708,25.302909,0.1582,0.0,89.95,,Kepler-595,,,,294.57036,50.673015,19h38m16.89s,+50d40m22.85s,15.067,643.009,5138.5,0.93,0.82,0.406,2.7,-0.348,4.54,2.166231,4.6925566,1.2655223,0.34129511,0.0042009466,0.1582,0.1582,0.1582,0.1582,17.930279,524.19934,,Neptunian,K,19 38 16.89,+50 40 22.85,0.44874539,1.8086884,0.66003783,0.41204671,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-598 c,Transit,Kepler,2020,2020-09-08,9.4,M-R relationship,3.024,86.4945,0.3576,0.0,89.33,,Kepler-598,,,,293.12345,40.934801,19h32m29.63s,+40d56m05.28s,14.829,681.086,5245.0,0.9,0.9,0.03,12.3,-0.258,4.48,1.7630841,3.1084656,1.0279317,0.33992452,0.0078188799,0.3576,0.3576,0.3576,0.3576,4.3172279,367.19855,,Neptunian,K,19 32 29.63,+40 56 05.28,0.55207744,2.0061517,0.78394136,0.52475493,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-607 b,Transit,Kepler,2016,2019-04-16,0.59,M-R relationship,0.87,0.6381632,0.0135,0.0,88.69,,Kepler-607,,,,291.05715,44.632306,19h24m13.71s,+44d37m56.30s,14.672,519.122,5196.0,0.84,0.8,-0.02,4.9,-0.382,4.56,0.82350526,0.67816092,0.77949531,0.89597162,0.00012003556,0.0135,0.0135,0.0135,0.0135,2276.8397,1759.6765,1987.2781,Terran,K,19 24 13.71,+44 37 56.30,0.41495404,1.739257,0.70426492,0.43989661,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-616 b,Transit,Kepler,2016,2019-04-16,6.48,M-R relationship,2.43,9.9976185,0.0927,0.0,86.18,,Kepler-616,,,,294.98914,46.838306,19h39m57.39s,+46d50m17.90s,15.021,945.775,5753.0,0.98,0.97,-0.02,3.89,-0.111,4.46,1.6329932,2.6666667,1.0973937,0.45160234,0.0017403955,0.0927,0.0927,0.0927,0.0927,90.124015,784.89189,886.41206,Superterran,G,19 39 57.39,+46 50 17.90,0.7744618,2.3760948,1.9303647,0.44561363,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-616 c,Transit,Kepler,2016,2019-04-16,11.5,M-R relationship,3.41,90.411356,0.4024,0.0,89.16,,Kepler-616,,,,294.98914,46.838306,19h39m57.39s,+46d50m17.90s,15.021,945.775,5753.0,0.98,0.97,-0.02,3.89,-0.111,4.46,1.8364188,3.372434,0.98898358,0.29002451,0.009146757,0.4024,0.4024,0.4024,0.4024,4.7828202,376.72177,,Neptunian,G,19 39 57.39,+46 50 17.90,0.7744618,2.3760948,1.9303647,0.44561363,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1856 b,Transit,Kepler,2021,2021-12-05,3.66,M-R relationship,1.734,1.302,0.0215,0.0,87.69,,Kepler-1856,,,,295.90917,51.347878,19h43m38.20s,+51d20m52.36s,15.621,848.76,4948.0,0.78,0.82,0.14,10.9,-0.331,4.51,1.452834,2.1107266,1.2172587,0.70199466,0.00036004148,0.0215,0.0215,0.0215,0.0215,1009.539,1435.9208,1621.6469,Superterran,K,19 43 38.20,+51 20 52.36,0.46665938,1.8444367,0.44871498,0.49033639,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1705 c,Transit,Kepler,2021,2022-01-10,5.42,Mass,2.05,11.28,0.10280572,0.028,88.89,-38.0,Kepler-1705,,,,301.57853,44.312164,20h06m18.85s,+44d18m43.79s,15.8,1633.49,6312.0,1.14,1.26,-0.2,2.59,0.354,4.3,1.6260081,2.6439024,1.2897085,0.6291261,0.001680739,0.10284602,0.099927159,0.10568428,0.1028158,213.86305,974.02429,1100.0074,Superterran,F,20 06 18.85,+44 18 43.79,2.2594358,4.0584833,5.3041063,0.43793509,0,0,Hot,0,Cygnus,Cyg,Swan
HD 79181 b,Radial Velocity,Okayama Astrophysical Observatory,2021,2022-01-10,203.41018,Msini,14.1,273.1,0.9,0.259,,318.0,HD 79181,HD 79181,,G8 III,137.99447,-19.747434,09h11m58.67s,-19d44m50.76s,5.72,103.335,4862.0,1.28,11.06,-0.28,,1.79,2.45,3.7981909,14.426254,1.0231386,0.072563019,0.036132682,0.93018645,0.6669,1.1331,0.90771817,78.81212,749.24559,,Jovian,G,09 11 58.67,-19 44 50.76,61.6595,21.201362,0.45657229,0.50090394,0,0,Hot,0,Hydra,Hya,Water Snake
HD 161178 b,Radial Velocity,Okayama Astrophysical Observatory,2021,2022-01-10,181.16219,Msini,14.1,279.3,0.85,0.044,,300.0,HD 161178,HD 161178,,G9 III,264.28736,72.455859,17h37m08.97s,+72d27m21.09s,5.88375,107.188,4786.0,1.06,10.95,-0.21,,1.751,2.38,3.584464,12.848382,0.91123279,0.064626439,0.045107556,0.8508228,0.8126,0.8874,0.85020583,78.087758,756.98569,,Jovian,G,17 37 08.97,+72 27 21.09,56.363766,20.270467,0.37627314,0.47038459,0,0,Hot,0,Draco,Dra,Dragon
KOI-4777.01,Transit,Kepler,2014,2022-01-10,99.2,Mass,0.51,0.412,0.008,0.0,87.0,90.0,KOI-4777,,,,287.26215,42.032226,19h09m02.92s,+42d01m56.01s,16.413,172.245,3515.0,0.41,0.4,0.1,4.0,-1.64,4.77,13.946677,194.5098,381.39177,747.827,0.00049863701,0.008,0.008,0.008,0.008,357.94807,1108.0382,1251.355,Subterran,M,19 09 02.92,+42 01 56.01,0.022908677,0.40866154,0.030880189,0.33483392,0,0,Hot,0,Lyra,Lyr,Lyre
OGLE-2018-BLG-1428L b,Microlensing,OGLE,2021,2021-04-01,240.0,Mass,14.0,,3.3,,,,OGLE-2018-BLG-1428L,,,,265.54871,-26.137889,17h42m11.69s,-26d08m16.4s,,6220.0,,0.43,,,,,,4.1403934,17.142857,1.2244898,0.087463557,0.27177747,3.3,3.3,3.3,3.3,,,,Jovian,,17 42 11.69,-26 08 16.40,,,,0.34820949,0,0,,0,Ophiuchus,Oph,Serpent Holder
Kepler-1875 b,Transit,Kepler,2021,2021-12-05,10.5,M-R relationship,3.227,34.458599,0.2039,0.0,88.74,,Kepler-1875,,,,296.77274,50.188367,19h47m05.46s,+50d11m18.12s,15.201,1660.45,6161.0,0.95,0.86,-0.5,0.3,0.407,4.54,1.8038282,3.2537961,1.0083037,0.31245854,0.0045431566,0.2039,0.2039,0.2039,0.2039,61.399601,713.08466,,Neptunian,F,19 47 05.46,+50 11 18.12,2.5527013,4.3138373,3.8508328,0.28773073,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1860 b,Transit,Kepler,2021,2021-12-05,1.55,M-R relationship,1.139,12.7372,0.1021,0.0,89.24,,Kepler-1860,,,,294.35085,50.080963,19h37m24.20s,+50d04m51.47s,13.569,438.703,5420.0,0.87,0.87,0.0,0.4,-0.181,4.5,1.1665517,1.3608428,1.1947698,1.0489639,0.0012380793,0.1021,0.1021,0.1021,0.1021,63.233689,718.35123,811.26483,Terran,G,19 37 24.20,+50 04 51.47,0.6591739,2.1921172,1.0469995,0.29313966,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1832 b,Transit,Kepler,2021,2021-12-05,2.02,M-R relationship,1.227,3.1387899,0.037,0.0,88.1,,Kepler-1832,,,,299.85178,43.732061,19h59m24.43s,+43d43m55.42s,14.577,486.174,5242.0,0.68,0.72,-0.54,14.0,-0.337,4.56,1.283079,1.6462918,1.3417211,1.0934972,0.00053202796,0.037,0.037,0.037,0.037,336.1991,1090.8093,1231.8977,Terran,K,19 59 24.43,+43 43 55.42,0.46025657,1.8317397,0.71034178,0.48837019,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1866 b,Transit,Kepler,2021,2021-12-05,4.99,M-R relationship,2.082,11.6601,0.1016,0.0,76.07,,Kepler-1866,,,,286.22465,44.654487,19h04m53.91s,+44d39m16.15s,14.418,976.737,5791.0,1.03,1.08,0.16,0.3,0.144,4.38,1.5481389,2.3967339,1.151169,0.552915,0.0017196236,0.1016,0.1016,0.1016,0.1016,134.96234,868.26612,980.57015,Superterran,G,19 04 53.91,+44 39 16.15,1.3931568,3.1868657,2.0950556,0.29559071,0,0,Hot,0,Lyra,Lyr,Lyre
OGLE-2015-BLG-1649L b,Microlensing,OGLE,2019,2019-12-05,807.0,Mass,13.2,,2.07,,,,OGLE-2015-BLG-1649L,,,,271.20504,-32.633028,18h04m49.21s,-32d37m58.90s,,4230.0,,0.34,,,,,,7.8189746,61.136364,4.6315427,0.35087445,0.27619796,2.07,2.07,2.07,2.07,,,,Jovian,,18 04 49.21,-32 37 58.90,,,,0.32199127,0,0,,0,Sagittarius,Sgr,Archer
Kepler-846 b,Transit,Kepler,2016,2019-04-16,6.71,M-R relationship,2.48,19.807922,0.1399,0.0,89.93,,Kepler-846,,,,287.05707,49.046011,19h08m13.70s,+49d02m45.64s,15.684,1127.12,5579.0,0.94,0.91,0.0,4.37,-0.217,4.5,1.6448845,2.7056452,1.090986,0.43991369,0.0026944359,0.1399,0.1399,0.1399,0.1399,31.000205,601.09187,678.83881,Superterran,G,19 08 13.70,+49 02 45.64,0.60673633,2.1031186,1.411829,0.44807189,0,0,Hot,0,Draco,Dra,Dragon
Kepler-1669 d,Transit,Kepler,2023,2023-05-16,1.98,M-R relationship,1.22,4.7294118,0.0468,0.0,89.16,,Kepler-1669,,,,297.43038,39.847879,19h49m43.29s,+39d50m52.37s,16.473,543.444,4224.0,0.61,0.6,-0.2,13.9,-0.803,4.66,1.2739509,1.6229508,1.3302876,1.0903996,0.00069312179,0.0468,0.0468,0.0468,0.0468,71.863488,741.69745,837.63072,Terran,K,19 49 43.29,+39 50 52.37,0.15739829,1.0711832,0.11917713,0.47043965,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1819 b,Transit,Kepler,2021,2021-12-05,14.5,M-R relationship,3.904,16.4869,0.1337,0.0,87.38,,Kepler-1819,,,,296.56003,46.857464,19h46m14.41s,+46d51m26.87s,15.489,1363.19,6090.0,1.17,1.07,0.21,0.4,0.086,4.45,1.9272102,3.7141393,0.95136766,0.24369049,0.0030948816,0.1337,0.1337,0.1337,0.1337,68.19259,732.03864,,Neptunian,F,19 46 14.41,+46 51 26.87,1.2189896,2.9810123,3.6537125,0.32356643,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-381 c,Transit,Kepler,2014,2019-04-16,1.46,M-R relationship,1.12,13.391635,0.117,0.0,88.8,,Kepler-381,,,,285.18287,43.831028,19h00m43.89s,+43d49m51.70s,10.47,267.323,6152.0,1.2,1.57,-0.202,2.57,0.514,4.12,1.1417405,1.3035714,1.1639031,1.0391992,0.0012493812,0.117,0.117,0.117,0.117,238.57684,1001.1676,1130.6615,Terran,F,19 00 43.89,+43 49 51.70,3.2658783,4.8793701,4.0988197,0.44491199,0,0,Hot,0,Lyra,Lyr,Lyre
