P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_UPDATE,P_MASS,P_MASS_ORIGIN,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,S_NAME,S_NAME_HD,S_NAME_HIP,S_TYPE,S_RA,S_DEC,S_RA_STR,S_DEC_STR,S_MAG,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_AGE,S_LOG_LUM,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
K2-121 b,Transit,K2,2017,2024-03-04,44.1,M-R relationship,7.52,5.1857539,0.0629,0.22,89.027,72.97,K2-121,,,,126.93666,17.579327,08h27m44.80s,+17d34m45.58s,13.229,169.398,4690.0,0.69,0.67,-0.16,,-0.745,4.63,2.4216444,5.8643617,0.77983533,0.10370151,0.0019621265,0.06442218,0.049062,0.076738,0.06328673,46.609183,659.46748,,Neptunian,K,08 27 44.80,+17 34 45.58,0.17988709,1.1451537,0.27651814,0.40766256,0,0,Hot,0,Cancer,Cnc,Crab
HR 5183 b,Radial Velocity,Multiple Observatories,2019,2023-06-12,1052.012,Mass,13.1,27000.0,18.0,0.84,80.3,-20.0,HR 5183,HD 120066,HIP 67246,G0 V,206.7358,6.3498994,13h46m56.59s,+06d20m59.64s,6.33432,31.4607,5794.0,1.07,1.53,0.1,7.7,0.397,4.02,8.9613761,80.306262,6.130249,0.46795794,0.2864552,24.3504,2.88,33.12,20.171345,0.014190121,71.282395,,Jovian,G,13 46 56.59,+06 20 59.64,2.4945947,4.2644572,2.1327965,0.51416347,0,0,Cold,0,Virgo,Vir,Virgin
K2-107 b,Transit,K2,2017,2024-03-04,266.9772,Mass,15.98,3.313959,0.0475,0.0,82.361,,K2-107,,,F9 IV,284.98536,-22.293421,18h59m56.49s,-22d17m36.31s,13.012,685.2,6061.0,1.3,1.81,0.14,4.25,0.464,4.04,4.0874147,16.706959,1.0454918,0.065425018,0.0028032111,0.0475,0.0475,0.0475,0.0475,1290.0685,1526.6972,,Jovian,F,18 59 56.49,-22 17 36.31,2.9107171,4.6064225,3.6003892,0.49690204,0,0,Hot,0,Sagittarius,Sgr,Archer
WASP-13 b,Transit,SuperWASP,2009,2024-03-04,114.4188,Mass,13.675,4.35301,0.05362,0.0,85.43,,WASP-13,,,,140.10297,33.882329,09h20m24.71s,+33d52m56.38s,10.424,227.537,5950.0,0.72,1.37,0.0,5.0,0.436,4.06,2.8925777,8.3670055,0.61184684,0.044741999,0.0029051397,0.05362,0.05362,0.05362,0.05362,949.1752,1413.9573,,Jovian,G,09 20 24.71,+33 52 56.38,2.7289778,4.4602969,2.4433934,0.41927342,0,0,Hot,0,Lynx,Lyn,Lynx
TOI-2076 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2021,2024-03-04,6.89,M-R relationship,2.518,10.35509,0.0682,,88.9,,TOI-2076,,,K,217.39202,39.790399,14h29m34.08s,+39d47m25.44s,9.139,41.9091,5200.0,0.82,0.77,-0.09,0.34,-0.423,4.45,1.6541761,2.7362986,1.0866953,0.43157079,0.0013868774,0.0682,0.0682,0.0682,0.0682,81.176674,764.6409,,Neptunian,K,14 29 34.08,+39 47 25.44,0.37757219,1.6590664,0.70344808,0.27973229,0,0,Hot,0,Bootes,Boo,Herdsman
GJ 436 b,Radial Velocity,W. M. Keck Observatory,2004,2024-03-04,22.1,Mass,4.17,2.6438831,0.0291,0.13827,86.44,351.0,GJ 436,,HIP 57087,M2.5 V,175.55054,26.703067,11h42m12.13s,+26d42m11.04s,10.67,9.75321,3586.11,0.47,0.46,0.099,6.0,-1.585,4.79,2.3021208,5.2997602,1.2709257,0.30477835,0.00090534531,0.029378176,0.025076343,0.033123657,0.029169984,31.003146,598.93765,,Neptunian,M,11 42 12.13,+26 42 11.04,0.026001596,0.43537528,0.036518063,0.37492926,0,0,Hot,0,Leo,Leo,Lion
GJ 357 c,Radial Velocity,Multiple Observatories,2019,2019-07-29,3.4,Msini,1.66,9.1247,0.061,,,,GJ 357,,HIP 47103,M2.5 V,144.00746,-21.665063,09h36m01.79s,-21d39m54.23s,10.91,9.44181,3505.0,0.34,0.34,-0.12,,-1.798,4.94,1.4311509,2.0481928,1.2338511,0.74328378,0.001314564,0.061,0.061,0.061,0.061,4.2789807,366.38256,413.77153,Superterran,M,09 36 01.79,-21 39 54.23,0.015922087,0.34069343,0.028517873,0.32199127,0,0,Hot,0,Hydra,Hya,Water Snake
WASP-48 b,Transit,SuperWASP,2011,2024-03-04,254.264,Mass,16.814,2.14363,0.03444,0.0,80.09,,WASP-48,,,,291.16239,55.473027,19h24m38.97s,+55d28m22.90s,11.647,454.144,5920.0,0.88,1.58,-0.12,7.9,0.58,4.03,3.8887222,15.12216,0.8993791,0.053489895,0.0022774514,0.03444,0.03444,0.03444,0.03444,3205.3371,1916.7618,,Jovian,G,19 24 38.97,+55 28 22.90,3.801894,5.2645804,2.4811894,0.48379003,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-18 d,Transit,Kepler,2011,2024-03-04,16.4,Mass,6.98,14.85888,0.1172,0.0,88.07,,Kepler-18,,,,298.07944,44.746248,19h52m19.07s,+44d44m46.49s,13.771,433.047,5345.0,0.97,1.11,0.19,10.0,-0.031,4.31,1.5328308,2.3495702,0.33661464,0.048225593,0.003008871,0.1172,0.1172,0.1172,0.1172,67.786744,730.94703,,Neptunian,G,19 52 19.07,+44 44 46.49,0.93110788,2.6053361,0.95441762,0.51977504,0,0,Hot,0,Cygnus,Cyg,Swan
WASP-132 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,2022-08-08,37.35,Mass,1.85,1.011534,0.0182,0.13,86.64,-53.0,WASP-132,,,K4,217.6092,-46.159516,14h30m26.21s,-46d09m34.26s,11.938,122.91,4714.0,0.78,0.75,0.18,3.2,-0.597,4.58,4.4932382,20.189189,10.913075,5.8989596,0.0005751413,0.01835379,0.015834,0.020566,0.018238662,770.11995,1337.683,1510.7028,Superterran,K,14 30 26.21,-46 09 34.26,0.2529298,1.3578874,0.30017808,0.39974346,0,0,Hot,0,Lupus,Lup,Wolf
